col	row	isTF	isLib	isDud	isAmbg	nCall	cf	ie	dr	keySNR	keySD	keySig	oneSig	zeroSig	ppf	medAbsRes	multiplier
25	0	0	1	0	0	178	0.0120	0.0088	0.00023	16.087	0.078	1.252	1.254	0.001	0.750	0.192	0.471
27	5	0	1	0	0	125	0.0120	0.0088	0.00023	22.018	0.045	0.983	0.984	0.001	0.450	0.026	0.000
11	2	0	1	0	0	163	0.0120	0.0088	0.00023	13.754	0.072	0.993	1.026	0.033	0.633	0.233	0.117
33	5	0	1	0	0	115	0.0120	0.0088	0.00023	8.346	0.113	0.941	0.942	0.001	0.467	0.043	0.000
29	5	0	1	0	0	115	0.0120	0.0088	0.00023	18.016	0.059	1.060	1.061	0.001	0.450	0.092	0.000
28	4	0	1	0	0	133	0.0120	0.0088	0.00023	12.691	0.080	1.019	1.036	0.017	0.483	0.036	0.000
31	5	0	1	0	0	124	0.0120	0.0088	0.00023	12.566	0.070	0.879	0.899	0.021	0.450	0.056	0.000
36	5	0	1	0	0	109	0.0120	0.0088	0.00023	14.701	0.064	0.935	0.936	0.001	0.433	0.030	0.003
41	5	0	1	0	0	121	0.0120	0.0088	0.00023	69.049	0.014	0.976	0.977	0.001	0.417	0.039	0.000
39	5	0	1	0	0	122	0.0120	0.0088	0.00023	38.291	0.026	0.986	0.987	0.001	0.433	0.033	0.000
42	5	0	1	0	0	116	0.0120	0.0088	0.00023	17.195	0.055	0.949	0.950	0.001	0.483	0.043	0.160
46	5	0	1	0	0	113	0.0120	0.0088	0.00023	37.313	0.025	0.951	0.952	0.001	0.517	0.030	0.000
45	5	0	1	0	0	114	0.0120	0.0088	0.00023	12.821	0.081	1.036	1.037	0.001	0.517	0.046	0.035
32	5	0	1	0	0	122	0.0120	0.0088	0.00023	24.106	0.039	0.930	0.931	0.001	0.433	0.041	0.000
0	6	0	1	0	0	115	0.0120	0.0088	0.00023	25.119	0.039	0.971	0.983	0.012	0.500	0.048	0.000
2	6	0	1	0	0	107	0.0120	0.0088	0.00023	9.262	0.108	0.996	0.997	0.001	0.350	0.029	0.000
4	6	0	1	0	0	109	0.0120	0.0088	0.00023	9.083	0.098	0.887	0.888	0.001	0.400	0.078	0.000
5	6	0	1	0	0	109	0.0120	0.0088	0.00023	22.181	0.045	1.008	1.018	0.009	0.433	0.030	0.000
3	6	0	1	0	0	116	0.0120	0.0088	0.00023	27.540	0.035	0.969	0.974	0.005	0.367	0.030	0.001
4	5	0	1	0	0	119	0.0120	0.0088	0.00023	14.933	0.068	1.016	1.039	0.023	0.450	0.069	0.000
13	6	0	1	0	0	111	0.0120	0.0088	0.00023	23.484	0.041	0.954	0.985	0.031	0.383	0.019	0.000
14	6	0	1	0	0	112	0.0120	0.0088	0.00023	15.558	0.061	0.944	0.953	0.009	0.400	0.032	0.000
43	5	0	1	0	0	137	0.0120	0.0088	0.00023	21.547	0.051	1.101	1.102	0.001	0.467	0.090	0.000
30	5	0	1	0	0	125	0.0120	0.0088	0.00023	16.047	0.059	0.947	0.948	0.001	0.433	0.047	0.000
6	6	0	1	0	0	130	0.0120	0.0088	0.00023	30.854	0.028	0.874	0.875	0.001	0.417	0.057	0.043
15	6	0	1	0	0	132	0.0120	0.0088	0.00023	11.123	0.085	0.940	0.954	0.014	0.450	0.036	0.000
9	6	0	1	0	0	120	0.0120	0.0088	0.00023	58.039	0.016	0.953	0.962	0.009	0.467	0.052	0.000
21	6	0	1	0	0	119	0.0120	0.0088	0.00023	24.329	0.038	0.931	0.940	0.010	0.467	0.033	0.000
25	6	0	0	1	0	26	0.0120	0.0088	0.00023	0.000	0.014	0.000	0.000	0.000	0.233	0.032	0.043
49	3	0	1	0	0	154	0.0120	0.0088	0.00023	49.447	0.022	1.100	1.102	0.001	0.717	0.190	0.000
16	6	0	1	0	0	120	0.0120	0.0088	0.00023	25.280	0.039	0.986	0.987	0.001	0.417	0.030	0.000
23	5	0	1	0	0	139	0.0120	0.0088	0.00023	31.059	0.034	1.055	1.056	0.001	0.600	0.169	0.000
22	6	0	1	0	0	128	0.0120	0.0088	0.00023	11.802	0.078	0.925	0.958	0.033	0.517	0.033	0.000
8	6	0	1	0	0	135	0.0120	0.0088	0.00023	23.431	0.044	1.033	1.034	0.001	0.433	0.033	0.010
29	6	0	1	0	0	125	0.0120	0.0088	0.00023	7.980	0.120	0.958	0.971	0.014	0.500	0.037	0.015
27	6	0	1	0	0	111	0.0120	0.0088	0.00023	18.264	0.056	1.021	1.022	0.001	0.433	0.032	0.000
34	6	0	1	0	0	110	0.0120	0.0088	0.00023	14.824	0.056	0.825	0.826	0.001	0.433	0.040	0.000
30	6	0	1	0	0	126	0.0120	0.0088	0.00023	24.556	0.041	1.007	1.008	0.001	0.500	0.033	0.000
28	6	0	1	0	0	106	0.0120	0.0088	0.00023	14.620	0.058	0.853	0.854	0.001	0.317	0.048	0.000
7	6	0	1	0	0	187	0.0120	0.0088	0.00023	11.600	0.073	0.844	0.960	0.116	0.433	0.080	0.000
