col	row	region_id	res_old	res_new	ppf	ppf2	ssq	cf	ie	dr	used_in_est	clonal
17	6	0	0.0424	0.1898	0.7500	0.9667	5.3371	0.0300	0.0300	0.0002	0	1
28	6	0	0.0085	0.0297	0.3125	0.3333	0.9423	0.0061	0.0036	0.0002	1	1
19	4	0	0.0096	0.0838	0.4688	0.4833	1.3812	0.0230	0.0026	0.0002	1	1
23	6	0	0.0134	0.0992	0.4062	0.5833	2.2071	0.0251	0.0061	0.0002	1	1
30	6	0	0.0013	0.0266	0.4688	0.5500	1.2534	0.0000	0.0096	0.0002	0	1
32	6	0	0.0464	0.1649	0.5000	0.6667	4.1310	0.0000	0.0300	0.0002	0	1
29	6	0	0.0026	0.0469	0.5625	0.5000	1.3017	0.0000	0.0060	0.0002	0	1
21	6	0	0.0028	0.0345	0.5000	0.5000	0.9941	0.0029	0.0120	0.0002	1	1
43	4	0	0.0021	0.0378	0.4062	0.4667	0.4359	0.0255	0.0045	0.0002	1	1
26	6	0	0.0343	0.1742	0.6250	0.9667	5.6889	0.0300	0.0300	0.0002	0	1
34	6	0	0.0094	0.1133	0.4062	0.6167	2.2295	0.0260	0.0104	0.0002	1	1
47	6	0	0.0046	0.0257	0.4062	0.5333	1.4506	0.0000	0.0082	0.0002	0	1
46	3	0	0.0457	0.1101	0.4375	0.7000	5.5716	0.0300	0.0128	0.0002	0	1
2	7	0	0.0038	0.0398	0.3750	0.4500	0.8740	0.0000	0.0199	0.0002	0	1
1	7	0	0.0037	0.0604	0.5000	0.5000	1.2378	0.0000	0.0145	0.0002	0	1
37	6	0	0.0013	0.0299	0.3438	0.4167	0.5705	0.0061	0.0096	0.0002	1	1
39	6	0	0.0012	0.0312	0.4688	0.4667	1.0666	0.0038	0.0103	0.0002	1	1
45	6	0	0.0029	0.0527	0.5000	0.4667	1.8297	0.0080	0.0122	0.0002	1	1
13	7	0	0.0129	0.0748	0.4062	0.5833	2.2392	0.0000	0.0024	0.0002	0	1
8	7	0	0.0027	0.0259	0.5625	0.5167	0.7479	0.0000	0.0038	0.0002	0	1
7	7	0	0.0021	0.0387	0.4375	0.4500	1.4496	0.0064	0.0102	0.0002	1	1
22	5	0	0.0008	0.0181	0.3438	0.3833	0.3383	0.0176	0.0056	0.0002	1	1
10	7	0	0.0482	0.1744	0.4375	0.8167	5.5556	0.0300	0.0171	0.0002	0	1
43	3	0	0.0204	0.1222	0.5000	0.7000	4.1111	0.0300	0.0180	0.0002	0	1
45	5	0	0.0016	0.0331	0.5000	0.6167	1.9948	0.0000	0.0082	0.0002	0	1
19	7	0	0.0036	0.0521	0.4062	0.5000	1.0514	0.0000	0.0109	0.0002	0	1
12	7	0	0.0397	0.2150	0.6562	0.9500	4.4592	0.0300	0.0300	0.0002	0	1
16	7	0	0.0028	0.0409	0.4688	0.4333	0.5829	0.0291	0.0017	0.0002	1	1
27	7	0	0.0010	0.0171	0.4375	0.4333	0.6937	0.0000	0.0041	0.0002	0	1
18	7	0	0.0007	0.0304	0.4062	0.4167	0.4673	0.0046	0.0083	0.0002	1	1
24	7	0	0.0290	0.1893	0.7188	0.9500	5.6182	0.0300	0.0300	0.0002	0	1
23	7	0	0.0396	0.1897	0.6562	0.9500	6.2694	0.0300	0.0300	0.0002	0	1
31	5	0	0.0040	0.0672	0.4375	0.5000	1.1262	0.0242	0.0000	0.0002	0	1
35	7	0	0.0033	0.0586	0.4688	0.5500	1.8700	0.0155	0.0108	0.0002	1	1
31	7	0	0.0298	0.1462	0.7188	0.9000	5.3748	0.0300	0.0300	0.0002	0	1
6	6	0	0.0035	0.0500	0.4062	0.5167	1.6782	0.0217	0.0070	0.0002	1	1
0	6	0	0.0063	0.0823	0.5312	0.6000	1.9753	0.0156	0.0087	0.0002	1	1
7	6	0	0.0080	0.1063	0.4688	0.5000	1.6681	0.0248	0.0167	0.0002	1	1
26	7	0	0.0107	0.0605	0.4062	0.4833	1.9327	0.0300	0.0148	0.0002	0	1
34	7	0	0.0365	0.2098	0.4688	0.6833	4.8929	0.0300	0.0176	0.0002	0	1
